0	5	8	0.000000
0	10	1	0.000000
0	10	8	0.000000
0	6	1	0.000000
0	10	8	0.000000
0	6	1	0.000000
0	10	8	0.000000
0	6	1	0.000000
0	10	8	0.000000
0	6	1	0.000000
122345	10	8	0.000000
122345	6	1	0.000000
0	75248660	1	0.000000
0	79934484	1	0.000000
0	81409044	1	0.000000
0	7599124	1	0.000000
0	30	1	0.000000
0	30	8	0.000000
0	30	1	0.000000
0	30	8	0.000000
0	20	8	106.000000
0	20	8	108.000000
0	20	8	107.000000
0	30	1	0.000000
0	30	8	0.000000
0	30	8	119.000000
0	13999	1	0.000000
0	14124	1	0.000000
0	14237	1	0.000000
0	14468	1	0.000000
0	20	8	101.000000
0	10	800	27.000000
0	10	80000	25.000000
0	10	80000	24.000000
0	10	8000	10.000000
0	10	8000	10.000000
0	10	8000	10.000000
0	10	8000	10.000000
0	20	8000	16.000000
0	30	8000	23.000000
0	10	8000	10.000000
0	20	8000	16.000000
0	30	8000	31.000000
0	10	8	0.000000
0	30	8000	34.000000
0	10	8	0.000000
0	20	8000	23.000000
0	20	8	30.000000
0	10	8000	10.000000
0	20	8000	17.000000
0	30	8000	23.000000
