target n_rounds n_threads time
0	1000	1	7.000000
0	1000	2	4.000000
0	1000	3	4.000000
0	1000	4	3.000000
0	1000	5	3.000000
0	1000	6	3.000000
0	1000	7	2.000000
0	1000	8	3.000000
0	1000	9	2.000000
0	1000	10	2.000000
0	1000	11	3.000000
0	1000	12	3.000000
0	1000	13	3.000000
0	1000	14	3.000000
0	1000	15	5.000000
0	1000	16	5.000000
0	1000	17	4.000000
0	1000	18	4.000000
0	1000	19	4.000000
0	1000	20	4.000000
0	1000	21	5.000000
0	1000	22	5.000000
0	1000	23	5.000000
0	1000	24	5.000000
0	1000	25	5.000000
0	1000	26	5.000000
0	1000	27	6.000000
0	1000	28	6.000000
0	1000	29	6.000000
0	1000	30	6.000000
0	1000	31	6.000000
0	1000	32	6.000000
0	1000	33	8.000000
0	1000	34	7.000000
0	1000	35	7.000000
