target n_rounds n_threads time
0	500	1	3.000000
0	500	2	2.000000
0	500	3	1.000000
0	500	4	2.000000
0	500	5	2.000000
0	500	6	2.000000
0	500	7	1.000000
0	500	8	1.000000
0	500	9	1.000000
0	500	10	1.000000
0	500	11	2.000000
0	500	12	2.000000
0	500	13	1.000000
0	500	14	1.000000
0	500	15	1.000000
0	500	16	2.000000
0	500	17	1.000000
0	500	18	2.000000
0	500	19	2.000000
0	500	20	2.000000
0	500	21	2.000000
0	500	22	2.000000
0	500	23	2.000000
0	500	24	2.000000
0	500	25	2.000000
0	500	26	2.000000
0	500	27	2.000000
0	500	28	3.000000
0	500	29	3.000000
0	500	30	3.000000
0	500	31	3.000000
0	500	32	3.000000
0	500	33	3.000000
0	500	34	3.000000
0	500	35	3.000000
